Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,Bags,backpack ,Women .,Lino perros ,women pink laptop backpack ,"Rs 2,995",https://www.myntra.com/backpacks/linoperros/lino-perros-women-pink-solid-laptop-backpack/11632674/buy,,
,,,Bags,Cross-body bag ,Women .,Lychee bags ,Maroon textured sling bag,Rs 1999.,https://www.myntra.com/handbags/lychee%2Bbags/lychee-bags-maroon-textured-structured-sling-bag/20963602/buy,,
,,,Bags,Cross-body bag ,women ,LAPIS O LUPO,LAPIS O LUPO Women Fashion Full Moon Front Lock Pocket Design Sling Bag Vegan Leather Satchel Purse With Adjustable Sling ,"Rs 1,899",https://amzn.in/d/2YeweYL,,
,,,Bags,Handle bag ,Women ,ALDO ,Women's textured handle bag ,"Rs 10,999",https://www.myntra.com/handbags/aldo/aldo-women-textured-handheld-bag/22463090/buy,,
,,,Bags,Cross-body bag ,Women ,Carlton London ,Structured sling bag ,"Rs 2,495",https://www.myntra.com/handbags/carlton%2Blondon/carlton-london-structured-sling-bag-with-quilted/26397714/buy,,
,,,Bags,Cross-body bag ,Women ,LAVIE,Red Sling Bag,Rs 3499,https://dl.flipkart.com/s/90Sh5auuuN,,
,,,Bags,Shoulder bag ,women ,LC WAIKIKI,Black Leather Look Womans Baguette Bag with Detachable Strap,"₹2,099",https://www.nykaafashion.com/lc-waikiki-black-leather-look-womans-baguette-bag-with-detachable-strap/p/10671660,,
,,,Bags,Shoulder bag ,WOMEN ,Baggit,Womens Lpxe Caset Saddle Bag- Orange,"Rs 1,790",https://amzn.in/d/5vBKqUF,,
,,,Bags,Shoulder bag ,Women ,VEYMIS,Women Black Shoulder Bag,Rs 2499,https://dl.flipkart.com/s/EN5mqyNNNN,,
,,,bags,shoulder bag ,women ,mango ,Structured shoulder bag ,Rs 3290,https://www.myntra.com/handbags/mango/mango-structured-shoulder-bag/28455800/buy,,
,,,Bags,Cross-body bag ,Women ,London Rag ,Structured Handle bag ,Rs 2099,https://www.myntra.com/handbags/london%2Brag/london-rag-pu-structured-handheld-bag/29321846/buy,,
,,,Bags,Tote bag,Women ,Lulu & Sky,Commuter Pu Leather Magnetic Snap Tote Bag,"₹5,125",https://www.luluandsky.com/commuter-pu-leather-magnetic-snap-tote-bag.html,,
,,,Bags,Tote bag ,Women , CODE by Lifestyle,Women Black Hand-held bag,"Rs 2,699",https://dl.flipkart.com/s/oVM7WauuuN,,
,,,Bags,Shoulder bag ,Women ,CODE by lifestyle ,women solid handle bag ,Rs 2899,https://www.myntra.com/handbags/codebylifestyle/code-by-lifestyle-tan-brown-solid-handheld-bag/8334939/buy,,
,,,Bags ,laptop sleeve ,Women ,Red Lemon ,Laptop sleeve brown ,"Rs 2,499",https://www.myntra.com/laptop-bag/redlemon/red-lemon-unisex-brown-laptop-sleeve/19044712/buy,,
,,,Bags,Sling bag ,Women ,Saint G,ARIA CRYSTAL EMBELLISHED GREEN LEATHER MINI HANDBAGS,"₹6,900.00",https://www.saintg.in/products/aria-crystal-embellished-green-leather-mini-handbags,,
,,,bags ,Tote bag ,Women ,Lavie ,Structured shoulder bag ,Rs 3999,https://www.myntra.com/handbags/lavie/lavie-structured-shoulder-bag/22741336/buy,,
,,,Bags,Handle bag ,Women ,AmazingHind,Files for documents.A4 Size File folders,"Rs 1,399",https://amzn.in/d/frhOwtr,,
,,,Bags,Cross body bag ,Women ,Zara,CROSSBODY BAG WITH FLAP,"₹ 3,590.00",https://www.zara.com/in/en/crossbody-bag-with-flap-p16200310.html,,
,,,Bags,handle bag ,Women ,Lovva Paris, Women Yelllow bag,rs 1999,https://dl.flipkart.com/s/6eGOF9NNNN,,
,,,Bags ,Shoulder bag ,Women ,ePoch,Elegance Vegan Leather Water Resistant and Spacious Premium Finish Ladies Bag,"₹3,999",https://amzn.in/d/e44ytn8,,
,,,bags ,Handle bag ,Women ,Forever Glam by Pantaloons ,Floral embroidered hobo bag,Rs 1699,https://www.myntra.com/handbags/forever%2Bglam%2Bby%2Bpantaloons/forever-glam-by-pantaloons-floral-embroidered-hobo-bag/24529630/buy,,
,,,Bags,Handle bag,Women ,ALISLEEMA,"Women's Red Sling Box Bag for Ladies and Girls ,Faux Leather ,Snap Closure ,Adjustable Strap & Carry",₹369,"https://www.meesho.com/ALISLEEMA%20Women%27s%20Red%20Sling%20Box%20Bag%20for%20Ladies%20and%20Girls%20,Faux%20Leather%20,Snap%20Closure%20,Adjustable%20Strap%20&%20Carry%20Handle%20,1%20main%20Compartment%20/p/I8MZF",,
,,,Bags,Tote bag ,Women ,Lavie ,Structured shoulder bag ,Rs 4599,https://www.myntra.com/handbags/lavie/lavie-structured-shoulder-bag/25118938/buy,,
,,,Bags,Shoulder bag ,Women ,Mango,Structured baguette bag,Rs 3590,https://www.myntra.com/handbags/mango/mango-structured-baguette-bag/25256806/buy,,
,,,Bags,Shoulder bag,Women ,Meera Traditional ,Printed hand bag ,Rs 624,https://www.meesho.com/Amazing%20U%20Shape%20Shiney%20Wall%20Print%20Hand%20Bag/p/4FISNM,,
,,,Bags,Tote bag,Women ,MEZVO,Black Polka Dot Bag,₹2100,https://mezvo.in/product/30692888/Black-Polka-Dot,,
,,,Bags .,Shoulder bag ,Women ,Accessorize ,Animal texture structured Hobo bag ,Rs 5495,https://www.myntra.com/handbags/accessorize/accessorize-burgundy-animal-textured-structured-hobo-bag/19521944/buy,,
