Pictures,WITHOUT BG (EDITED),WITHOUT BG (NON EDITED),CATEGORY ,CATEGORY NAME,MEN/WOMEN/UNISEX,BRAND,NAME,PRICE,LINK,,Azure DB Img Id
,,,Shoes ,Boots,Women ,Mango,Women black high boots,Rs 5790,https://www.myntra.com/boots/mango/mango-women-mid-top-square-toe-slim-heel-boots/26572850/buy,,
,,,Shoes ,Shoes,Women ,Ginger by lifestyle ,Women platform heeled penny loafers,"Rs 2,499",https://www.myntra.com/casual-shoes/gingerbylifestyle/ginger-by-lifestyle-women-platform-heeled-penny-loafers/26807432/buy,,
,,,Shoes ,Slippers ,Women ,DREAM PAIRS,Women's Plush Fuzzy Slip on Indoor Outdoor Winter House Slippers,Rs 4294,https://www.ubuy.co.in/product/1GOEUO2QU-dream-pairs-women-x27-s-plush-fuzzy-slip-on-indoor-outdoor-winter-house-slippers,,
,,,Shoes,Sandal ,Women ,Metro,Silver toned embellished block heels,"Rs 1,690",https://www.myntra.com/heels/metro/metro-silver-toned-embellished-block-heels/18198448/buy,,
,,,Shoes ,Loafers,Women ,Mango ,Women leather horsebit loafers,"Rs 6,490",https://www.myntra.com/casual-shoes/mango/mango-women-leather-horsebit-loafers/25377298/buy,,
,,,Shoes ,shoe,Women ,The label life ,Women black solid heel loafers ,"Rs 2,890",https://www.myntra.com/casual-shoes/thelabellife/the-label-life-women-black-solid-heeled-loafers/20786566/buy,,
,,,Shoes,Sandal ,Women ,Bruno Manetti ,Women sea green and white sandal ,Rs 2499,https://www.myntra.com/heels/bruno%2Bmanetti/bruno-manetti-women-sea-green--white-pu-open-toe-flats/17119026/buy,,
,,,Shoes ,Ballets ,Women ,marks & Spencer , Party Wear For Women,Rs 3999,https://dl.flipkart.com/s/126fR6NNNN,,
,,,Shoes ,Heels,Women ,Amzilo,Black Velvet Open Toe Pump Heel,₹683,https://www.meesho.com/black-velvet-open-toe-pump-heel/p/2okkpu,,
,,,Shoes,Flats ,Women ,Tommy Hilfiger ,Women espadrilles ,Rs 8599,https://www.myntra.com/casual-shoes/tommyhilfiger/tommy-hilfiger-women-espadrilles/23204886/buy,,
,,,Shoes,Heels,Women ,Picktoes ,Women maroon flatform heels,"Rs 1,899",https://www.myntra.com/heels/picktoes/picktoes-women-maroon-flatform-heels/16075708/buy,,
,,,Shoes ,Heels,Women ,Try me,Suede stiletto heeld gladiators ,Rs 1499,https://www.myntra.com/heels/try%2Bme/try-me-suede-stiletto-heeled-gladiators/29273700/buy,,
,,,Shoes ,Flats ,Women ,Allen Solly ,Women maroon solid Ballerinas with bow upper ,"Rs 1,599",https://www.myntra.com/Flats/Allen%2BSolly/Allen-Solly-Women-Maroon-Solid-Ballerinas-with-Bow-Upper/19652268/buy,,
,,,Shoes,Toe heels ,Women ,DressBerry ,Embellished PU pumps ,"Rs 2,999",https://www.myntra.com/heels/dressberry/dressberry-embellished-pu-pumps/21273564/buy,,
,,,Shoes ,heels,Women ,Signature sole,textured open toe block heels ,Rs 2518,https://www.myntra.com/heels/signaturesole/signature-sole-textured-open-toe-block-heels/24867718/buy,,
,,,Shoes ,Loafers ,Unisex ,Generic ,Arceus Shose Casual Loafers Casual Slip-on Moccasin for Men and Boys,Rs 999,https://amzn.in/d/hZDJLWu,,
,,,Shoes ,Toe heels,Women ,Lulu & Sky ,Pointed toe slim Heeled pumps ,"Rs 8,299",https://www.myntra.com/heels/lulu26sky/lulu--sky-pointed-toe-slim-heeled-pumps/28423524/buy,,
,,,Shoes ,Toe heels,Women ,Flat n heels,Beige Slim Heeled Pumps with bows,"Rs 4,199",https://www.myntra.com/heels/flat%2Bn%2Bheels/flat-n-heels-beige-slim-heeled-pumps-with-bows/14569630/buy,,
,,,Shoes ,Flats ,Women ,CANVI,Women neutral bellies sandal,Rs 999,https://dl.flipkart.com/s/kebslouuuN,,
,,,Shoes ,Flats,Men,BEAVER ,Men open toe Leather comfort sandal with buckle ,"Rs 3,299",https://www.myntra.com/sandals/beaver/beaver-men-open-toe-leather-comfort-sandals-with-buckle/22462446/buy,,
,,,Shoes,Loafers ,Women ,Marc Loire,Women Comfortable Metallic Loafer Mules Wedges Casual & Formal Footwear,"Rs 2,490",https://amzn.in/d/00coNtmw,,
,,,Shoes,Flats,Women ,Cassiey , Cassiey Women Slides ,Rs 499,https://dl.flipkart.com/dl/cassiey-women-slides/p/itm72b9cbfd4a417?pid=SFFGAW2WJU2XKD8A&cmpid=product.share.pp&_refId=PP.2ce367f8-4525-43d8-8d24-1409ba36f5f2.SFFGAW2WJU2XKD8A&_appId=CL,,
,,,Shoes,Heels,Women ,Shoetopia ,Square Toe platform heels,"Rs 2,999",https://www.myntra.com/heels/shoetopia/shoetopia-square-toe-platform-heels/22469598/buy,,
,,,Shoes ,Heels,Women ,ANGEL CREATIONS4,Grey Bellies Comfortable heels for women and girls,₹496,https://www.meesho.com/grey-bellies-comfortable-heels-for-women-and-girls/p/3y8ic8,,
,,,Shoes,Sneakers ,Men,JUMP USA,Men Black sneakers ,"Rs 1,999",https://www.myntra.com/casual-shoes/jump-usa/jump-usa-men-black-sneakers/8224523/buy,,
,,,Shoes ,Loafers ,Men,John Karsun ,Men tan brown loafers ,"Rs 4,099",https://www.myntra.com/casual-shoes/johnkarsun/john-karsun-men-tan-brown-loafers/8096709/buy,,
,,,Shoes ,Sandal ,Women .,Lino perros ,Open toe Slim heels ,"Rs 3,995",https://www.myntra.com/heels/linoperros/lino-perros-open-toe-slim-heels/24908828/buy,,
,,,Shoes,Sandals ,Women ,Perca ,Cross gold platforms ,"Rs 4,700",https://www.nykaafashion.com/perca-cross-gold-platforms/p/5054170,,
,,,Shoes,Sandals ,Women ,Allen Solly ,Women open toe cross straps block heels ,"Rs 1,999",https://www.myntra.com/heels/allen%2Bsolly/allen-solly-women-open-toe-cross-straps-block-heels/24441816/buy,,
,,,Shoes,Sandals,Women ,ICONICS,Womens Rani Heels Sandal,"Rs 1,699",https://amzn.in/d/0eUhW89b,,
,,,Shoes,Shoes ,Men,CLARKS,Black Leather Slip On For Men,rs 9999,https://dl.flipkart.com/s/z1zm8huuuN,,
,,,Shoes ,Sneakers ,Men ,Calvin Klein ,Men white sneakers ,Rs 8599,https://www.myntra.com/casual-shoes/calvin%2Bklein/calvin-klein-men-white-sneakers/23362366/buy,,
,,,Shoes,Boots ,Men,Woakers ,Black casual boots for men,"Rs 3,299",https://dl.flipkart.com/dl/woakers-black-casual-boots-men/p/itm61dd6cb112ec9?pid=SHOGHM6UUPZ4V6Z7&cmpid=product.share.pp&_refId=PP.ddfaf92c-845a-46e6-9899-d712f211aaff.SHOGHM6UUPZ4V6Z7&_appId=CL,,
,,,Shoes,Loafers ,Men.,House Of Pataudi ,Men textured Formal loafers ,"Rs 3,795",https://www.myntra.com/formal-shoes/houseofpataudi/house-of-pataudi-men-textured-formal-loafers/22759300/buy,,
,,,Shoes ,Loafers ,Men,BTOM, Loafer Shoes the Choice of All Men's and Boy's Loafers For Men,Rs 1999,https://dl.flipkart.com/s/zXWyWhuuuN,,
,,,Shoes ,Shoes ,Men,Arrow,Men black solid formal shoes,Rs 3999,https://www.myntra.com/formal-shoes/arrow/arrow-men-black-solid-sneffles-formal-leather-derbys/15804324/buy,,
,,,Shoes ,Shoes ,Men ,SHENCES ,Men lightweight Comfort insole canvas shoes,Rs 3999,https://www.myntra.com/casual-shoes/shences/shences-men-lightweight-comfort-insole-canvas-contrast-sole-espadrilles/24142802/buy,,
,,,Shoes,Shoes,Men ,Hitway,"Casual Shoes Lightweight Max Extra Cushion Running Shoes,Walking, Gym Casual Sneaker Shoes for Women's & Girl's",₹339,https://www.meesho.com/hitway-casual-shoes-lightweight-max-extra-cushion-running-shoeswalking-gym-casual-sneaker-shoes-for-womens-girls/p/5rwdkp,,
,,,Shoes,shoes,Men,Varito, (Crust Italian Leather) Buckle Formal Shoe,"Rs 9,999",https://amzn.in/d/02ExSBiu,,
,,,Shoes,Sneakers ,Men ,Prasking,Attractive Women's Synthetic White Casual Shoes,₹374,https://www.meesho.com/prekanzo-perfect-stylish-casual-shoes-for-girls-womens-casuals-sneakers-for-women/p/3vtw5a,,
,,,Shoes,Loafers ,Men,ATESBER by inc.5,Men round toe memory foam loafers ,Rs 5690,https://www.myntra.com/casual-shoes/atesberbyinc5/atesber-by-inc5-men-round-toe-memory-foam-loafers/28470688/buy,,
,,,Shoes,Shoes,women ,Elle,Grey square toe party wear pumps ,Rs 2399,https://www.nykaa.com/elle-grey-square-toe-party-wear-pumps/p/14971130?skuId=14969726&se=0,,
,,,Shoes ,Boots,Women ,RAG & CO,High Heels Ankle-Length Boots,"₹6,899",https://luxe.ajio.com/rag--co-high-heels-ankle-length-boots-/p/466207118_beige,,
,,,Shoes ,Heels,Women ,Shoetopia,Cherry Colored Ankle Strap Block Heeled Sandals For Women,₹1011,https://www.meesho.com/cherry-colored-ankle-strap-block-heeled-sandals-for-women/p/3zwmu1,,
,,,Shoes ,Heels ,Women ,Dorothy Perkins ,Women croc textured wedge heels,Rs 4999,https://www.myntra.com/heels/dorothyperkins/dorothy-perkins-women-croc-textured-wedge-heels/22636332/buy,,
,,,Shoes ,Sneakers ,Unisex ,Levis,Men round toe Orthotic friendly sne8,"Rs 2,999",https://www.myntra.com/casual-shoes/levis/levis-men-round-toe-orthotic-friendly-sneakers/29451398/buy,,
,,,Shoes,Sneakers ,Women ,Airspot,Women flyknit running  shoes ,Rs 1499,https://www.myntra.com/sports-shoes/airspot/airspot-women-flyknit-running-shoes/25682524/buy,,
,,,Shoes,Loafers ,Men,BUSKINS,Men's Casual Comfortable Loafers ,"₹2,999",https://amzn.in/d/00EbKnie,,
,,,Shoes,Loafers ,Men,Italian Shoes Company,Blue Leather Tubular Moccasin With Laces,"Rs. 9,998.99",https://italianshoescompany.com/products/blue-leather-tubular-moccasin-with-laces,,
,,,Shoes,Loafers ,Unisex ,SHENCES ,men lightweight Comfort insole canvas contrast sole espadrilles ,Rs 3999,https://www.myntra.com/Casual-Shoes/SHENCES/SHENCES-Men-Lightweight-Comfort-Insole-Canvas-Contrast-Sole-Espadrilles/24142804/buy,,
,,,Shoes ,sneakers ,Men,WROGN,Men round toe woven design slip pn sneakers ,Rs 2499,https://www.myntra.com/casual-shoes/wrogn/wrogn-men-round-toe-woven-design-slip-on-sneakers/25120282/buy,,
,,,Shoes,Shoes,Men,HANISHU TRADERS,"Black Sport Fashion Shoes, Sueas Fashion Walking Shoes, Running Shoes For Men",₹484,https://www.meesho.com/black-sport-fashion-shoes-sueas-fashion-walking-shoes-running-shoes-for-men-black/p/cfw7i,,
,,,Shoes ,Sandals,Men,Woodland ,Men brand logo printed sports sandals ,Rs 1995,https://www.myntra.com/sports-sandals/woodland/woodland-men-brand-logo-printed-sports-sandals/26870668/buy,,
,,,Shoes ,Flats ,Men,Mast & harbour ,Men round toe memory foam loafers ,Rs 2499,https://www.myntra.com/casual-shoes/mast%2B%26%2Bharbour/mast--harbour-men-round-toe-memory-foam-suede-loafers/27845830/buy,,
,,,Shoes,Loafers ,Men,Regal,Men light brown loafers ,Rs 5990,https://dl.flipkart.com/s/pL8D!ouuuN,,
,,,Shoes,Loafers ,Men ,House Of Pataudi ,Men textured Formal loafers ,Rs 3499,https://www.myntra.com/formal-shoes/houseofpataudi/house-of-pataudi-men-textured-formal-loafers/24651582/buy,,
,,,Shoes,Sneakers ,Men,U.S.Polo.Assn,Men canvas lace up sneakers ,Rs 3799,https://www.myntra.com/casual-shoes/u.s.%2Bpolo%2Bassn./us-polo-assn-men-canvas-lace-up-sneakers/23752754/buy,,
,,,Shoes,Loafers ,Men ,Bata ,Men textured round toe Loafers ,Rs 2499,https://www.myntra.com/casual-shoes/bata/bata-men-textured-round-toe-loafers/26701654/buy,,
,,,Shoes,Sneakers ,Men,Mochi ,Men textured comfort insole sneakers ,Rs 2990,https://www.myntra.com/casual-shoes/mochi/mochi-men-textured-comfort-insole-contrast-sole-sneakers/24956562/buy,,
,,,Shoes,Sneakers ,Men ,Rare Rabbit ,Men leather sneakers ,Rs 5999,https://www.myntra.com/casual-shoes/rare%2Brabbit/rare-rabbit-men-ascot1-leather-sneakers/24914108/buy,,
,,,Shoes,Sneakers ,Men,Power ,Men black Casual Sneakers ,Rs 1999,https://www.myntra.com/casual-shoes/power/power-men-black-casual-sneakers/17350290/buy,,
,,,Shoes,Heels ,Women ,DressBerry ,Cream coloured pointed toe textured kitten pumps ,"Rs 2,299",https://www.myntra.com/heels/dressberry/dressberry-cream-coloured-pointed-toe-textured-kitten-pumps-with-bows/24584394/buy,,
,,,Shoes,Heels,Women ,Inc 5 ,Peach Coloured  Party wedge heels,Rs 4890,https://www.myntra.com/heels/inc%2B5/inc-5-peach-coloured-party-wedge-heels/20586230/buy,,
,,,Shoes,Heels,Women ,ELLE ,Pointed toe kitten Heel pumps ,Rs  2499,https://www.myntra.com/heels/elle/elle-pointed-toe-kitten-heel-pumps/26655950/buy,,
,,,Shoes,Flats ,Men,Fausto,Men embroidered lightweight velvet mojaris,Rs 2999,https://www.myntra.com/casual-shoes/fausto/fausto-men-embroidered-lightweight-velvet-mojaris/25711974/buy,,
,,,Shoes ,Loafers ,Men,KILLER ,light weight grey loafers for men ,Rs 3499,https://dl.flipkart.com/s/bUMB94NNNN,,
,,,Shoes,Loafers ,Women ,Dagna,Trendy Loafers for Women Purple Stylish Bellies,₹342,https://www.meesho.com/trendy-loafers-for-women-purple-stylish-bellies/p/4yxbu3,,
,,,Shoes ,Sneakers ,Men,Ramani,Ramani Navy Court Sneakers For Men,₹645,https://www.meesho.com/ramani-navy-court-sneakers-for-men/p/4bxbyv,,
,,,Shoes,Flats,Men,Adidas ,men red slippers ,Rs 2299,https://amzn.in/d/0fe5r0s4,,
,,,Shoes ,Loafers ,Women ,Allen Solly ,Women horse bit detail block heel pumps ,"Rs 2,799",https://www.myntra.com/heels/allensolly/allen-solly-women-horse-bit-detail-block-heel-pumps/23982834/buy,,
,,,Shoes ,Heels,Women ,Mango,Party embellished  stilleto  heel pumps ,Rs 6490,https://www.myntra.com/heels/mango/mango-party-embellished-stiletto-heel-pumps/26572882/buy,,
,,,Shoes,Sneakers ,Men,Roadster ,the lifestyle sneakers ,Rs 3299,https://www.myntra.com/casual-shoes/roadster/roadster-the-lifestyle-co-men-textured-sneakers/27437608/buy,,
,,,Shoes ,Heels,Women,Mango ,Pointed toe slim heels,"Rs 4,490",https://www.myntra.com/heels/mango/mango-pointed-toe-slim-heels/26572858/buy,,
,,,Shoes,Heels,Women ,Aldo,pointed toe stilleto heeled pumps ,"Rs 15,999",https://www.myntra.com/heels/aldo/aldo-pointed-toe-stiletto-heeled-pumps/27199120/buy,,
,,,Shoes,Heels,Women,Get glamr,women heel pumps ,Rs 2499,https://www.myntra.com/heels/get%2Bglamr/get-glamr-women-beige-pumps-/15684500/buy,,
,,,Shoes ,Shoes,Women ,Theater ,Women Classic Pencil Heels ," ₹2,990",https://amzn.in/d/00J9YpFI,,
,,,Shoes,Sandal ,Women ,tresmode,WOMEN DRESS HEEL SANDALS,"Rs 5,999",https://amzn.in/d/0enqmQtp,,
,,,Shoes ,Boots,Women ,IYKYK BY NAYKKA FASHION ,Casual black iconic boots,Rs 3799,https://www.nykaa.com/iykyk-by-nykaa-fashion-casual-black-iconic-boots-euro/p/8055114?skuId=8054951&se=0,,
,,,Shoes,Loafers ,Men ,KILLER ,Loafers For Men ,Rs 1799,https://dl.flipkart.com/s/ymNGuRNNNN,,
,,,Shoes ,slippers ,men,Gopi Shoes World,Jiver Pu slipper,₹290,https://www.meesho.com/jiver-pu-slipper/p/2349v8,,
,,,Shoes,shoes ,men,Dorado Humano,Suede Antique Brown Loafer Shoes,"₹5,999",https://www.doradohumano.com/product-page/hamford-suede-antique-brown-loafer-shoes,,
,,,Shoes,loafers ,men,HIGHLANDER ,Casuals For Men ,Rs 1548,https://dl.flipkart.com/s/ASnlg2uuuN,,
,,,Shoes ,loafers ,men,HUSH PUPPIES , Chaste E Slip On For Men ,"Rs 4,999",https://dl.flipkart.com/s/ymfovdNNNN,,
,,,Shoes,Loafers ,Men ,LOUIS STITCH , Premium Italian Suede Leather Stylish Moccasins Penny Driving Loafers for Men Loafers For Men ,Rs 6999,https://dl.flipkart.com/dl/louis-stitch-premium-italian-suede-leather-stylish-moccasins-penny-driving-loafers-men/p/itm92a70331dde48?pid=SHOFNQQKRFH582KJ&cmpid=product.share.pp&_refId=PP.c8a07a81-584a-4be0-ac53-c3dbd4618e24.SHOFNQQKRFH582KJ&_appId=CL,,
,,,Shoes,Loafers ,Men,LOUIS STITCH,Men's Seaweed Green Demesure Unerobe Italian Suede Leather Shoes ,"rs 6,999",https://amzn.in/d/0ejmJJlJ,,
,,,Shoes,Loafers ,Men ,THOMAS CRICK , Premium Comfort Slip-Resistant Slip-on Loafers For Men ,Rs  6279,https://dl.flipkart.com/s/hno2rQuuuN,,
,,,Shoes,Loafers ,Men,Cliff Fjord ,men bow details formal loafers ,Rs 4999,https://www.myntra.com/formal-shoes/cliff%2Bfjord/cliff-fjord-men-bow-detail-formal-loafers/25236952/buy,,
,,,Shoes,Loafers ,Men,Language Shoes,Joker Loafer,"₹6,490.00",https://languageshoes.com/product/joker-loafer/,,
,,,Shoes ,Sandals,Women ,CIRCLE ONE,Selfiee Chunky Block Heels Comfortable & Trendy Party Kitten Heel Sandals For Women,₹566,https://www.meesho.com/selfiee-chunky-block-heels-comfortable-trendy-party-kitten-heel-sandals-for-women/p/5r5gdo,,
,,,Shoes ,Loafers ,Unisex ,AJANTA,Blue loafers ,Rs 799,https://amzn.in/d/001k3Sum,,
,,,Shoes,Heels,Women,Jimishow,Mule Heels Mules For Woman R,"Rs 11,961.74",https://amzn.in/d/0gNAWWYd,,
,,,Shoes,Loafers ,Women ,Roadster ,Women navy blue solid denim platform penny loafers ,"Rs 2,999",https://www.myntra.com/casual-shoes/roadster/roadster-women-navy-blue-solid-denim-platform-penny-loafers/16004382/buy,,
,,,Shoes,Loafers ,Men,DODA,Men's Loafers for Everyday Style Casual Loafers for men,"Rs 2,299",https://amzn.in/d/03RJ0JPx,,
,,,Shoes ,Loafers ,Men ,BRUNE & BARESKIN,BLACK FORMAL SLIP-ON SHOES WITH PERFECT COMBINATION OF FRINGES & HORSE-BIT BUCKLE DETAILING,"Rs. 8,999.00",https://www.voganow.com/products/mens-black-fringes-with-horse-bit-buckle-detailing,,
,,,Shoss,Loafers ,Men,Here & Now,women green textured slip on loafers ,Rs 2829,https://www.myntra.com/casual-shoes/here26now/herenow-women-green-textured-slip-on-loafers/17359984/buy,,
,,,Shoes ,Loafers ,Women ,London Rag,Slip-on Women's Loafers,Rs 4099,https://www.shoppersstop.com/london-rag-pu-slip-on-women-s-loafers/p-SH4262BURGNDY,,
,,,Shoes ,Sandals ,Women ,Gossip,women denim heel,"RS.5,995",https://whydontwegossip.com/products/s2524-blue,,
,,,Shoes,Flats,Unisex ,Trenz,Women textured flats,Rs 699,https://www.myntra.com/flip-flops/trenz/trenz-women-textured-sliders-flip-flops/26570708/buy,,
,,,Shoes,Heels,Women ,Flat n heels ,wedge peep toes,Rs 6499,https://www.myntra.com/heels/flat%2Bn%2Bheels/flat-n-heels-wedge-peep-toes/24588038/buy,,
,,,Shoes ,Loafers ,men,NEEMANS ,Men textured lightweight arch support penny diving shoes ,Rs 3499,https://www.myntra.com/casual-shoes/neemans/neemans-men-textured-lightweight-arch-support-penny-driving-shoes/26104414/buy,,
,,,Shoes ,Heels,Women ,Elle, Women Heels,"Rs 1,999",https://dl.flipkart.com/s/N!sOsNuuuN,,
,,,Shoes ,Loafers ,Men ,San Frissco ,Men black loafers ,Rs 6495,https://www.myntra.com/casual-shoes/san%2Bfrissco/san-frissco-men-black-perforations-loafers/18494104/buy,,
,,,Shoes,Shoes,Men,Arrow ,Men solid black formal leather shoes ,"Rs 5,499",https://www.myntra.com/formal-shoes/arrow/arrow-men-black-solid-blanca-20-formal-leather-derbys/17777910/buy,,
,,,Shoes ,loafers ,men,van Heusen ,men textured slip on formal shoes ,Rs 4299,https://www.myntra.com/formal-shoes/van-heusen/van-heusen-men-textured-slip-on-formal-shoes/23129114/buy,,
,,,Shoes ,Loafers ,Men,Dorado Humano,Hamford Suede Antique Brown Loafer Shoes,"Rs 5,999.00",https://www.doradohumano.com/product-page/hamford-suede-antique-brown-loafer-shoes,,
,,,Shoes ,Sneakers ,women ,Rowlans,Running Shoes For Women ,Rs 1699,https://dl.flipkart.com/s/BS48XsuuuN,,
,,,Shoes ,Sneakers ,Men ,United Colors of Benetton ,Men suede lightweight lace up sneakers ,Rs 5999,https://www.myntra.com/casual-shoes/united%2Bcolors%2Bof%2Bbenetton/united-colors-of-benetton-men-suede-lightweight-lace-up-sneakers/24576212/buy,,
,,,Accessories ,Frame,WOMEN ,Peter Jones Eyewear ,full rim cateye frame ,Rs 2199,https://www.myntra.com/frames/peterjoneseyewear/peter-jones-eyewear-women-full-rim-cateye-frames-20385t/21938524/buy,,
,,,Accessories ,Glasses ,"women, men",IDEE , Round Sunglasses ,Rs 3790,https://dl.flipkart.com/s/V1Nj5CuuuN,,
,,,Accessories ,Glasses ,Men,Fastrack ,Men Aviator  sunglasses ,Rs 3099,https://www.myntra.com/sunglasses/fastrack/fastrack-men-aviator-sunglasses-m226bk5g/9235027/buy,,
,,,Accessories ,glasses,Women ,gio collection ,women uv protected cateye glasses ,Rs 3790,https://www.myntra.com/Sunglasses/GIO%2BCOLLECTION/GIO-COLLECTION-Women-UV-Protected-Cateye-Sunglasses-GM3047C01/10180279/buy,,
,,,Accessories ,Bracelet ,unisex ,KARISHMA KREATIONS ,unisex gold plated stainless steel kada bracelet ,Rs 799,https://www.myntra.com/bracelet/karishmakreations/karishma-kreations-unisex-gold-plated-stainless-steel-kada-bracelet/24755348/buy,,
,,,Accessories ,Earrings ,Women ,Silvermist,Floral Dew Earrings,"₹2,573.00",https://silvermistjewelry.in/products/floral-dew-earrings,,
,,,Accessories ,Pendant ,Women ,EFULGENZ,CZ Solitaire Pendant Locket Chain Necklace,₹850,https://www.ajio.com/efulgenz-cz-solitaire-pendant-locket-chain-necklace/p/461879977_white,,
,,,Accessories ,Pendant ,Women ,trinitygolddiamonds,"OVAL SHAPE MOISSANITE Diamond Necklace Pendant,","₹ 5,902",https://www.etsy.com/in-en/listing/1046234036/oval-shape-moissanite-diamond-necklace,,
,,,Accessories ,pendant ,Women ,Bria Jewels,Women's 925 Sterling Silver Eternity Necklace,"₹3,599",https://amzn.in/d/069JNZag,,
,,,Accessories ,Sunglasses ,Women ,Generic,Sunglasses for Women|Lilac Frame and Lens ,₹349,https://amzn.in/d/0iqTTzDl,,
,,,Accessories ,Sunglasses ,Women ,DIVINE ,Oval Sunglasses ,Rs 700,https://dl.flipkart.com/s/gcfXyhuuuN,,
,,,Accessories ,Sunglasses .,Women ,SHOPMORE,Unisex Polarized Wayfarer Sunglasses for Men & Women,₹143,https://www.meesho.com/unisex-polarized-wayfarer-sunglasses-for-men-women/p/1ex90d,,
,,,Accessories ,Sunglasses ,Women ,turn2fashion,(TIGER) frame Rectangular UV Protected Unisex Sunglasses(Lens-brown||Frame-Black||SUN-062 (Black),₹322,https://www.meesho.com/tiger-frame-rectangular-uv-protected-unisex-sunglasseslensbrownframeblacksun062-black/p/510j14,,
,,,Accessories ,Frame,Women ,Optimal Optic,women frame,"Rs 4,970.8",https://optimaloptic.com/prescription-glasses/vogue-vo5519-2942.html?SubmitCurrency=1&id_currency=35,,
,,,accessories ,earrings ,women ,vighnaharta fashion jwellery ,Gold Plated Removable Stud and Chain Drop Earring Combo set For Women and Girls ,"₹1,130",https://amzn.in/d/01EOiPol,,
,,,Accessories ,necklace ,women ,GIVA,Women Zircon Rhodium Plated Sterling Silver Necklace on,Rs 3199,https://dl.flipkart.com/s/AnLCWsuuuN,,
,,,Accessories ,Earrings ,Women ,MINAKI,Silver-Plated Stone-Studded Pearl Drop Earrings,"₹1,340",https://luxe.ajio.com/minaki-silver-plated-stone-studded-pearl-drop-earrings/p/466519638_white,,
,,,Accessories ,Sunglasses ,Women ,Levis ,Women cateye sunglasses with u/v protected lens,"Rs 3,900",https://www.myntra.com/sunglasses/levis/levis-women-cateye-sunglasses-with-uv-protected-lens-16426920228/29215596/buy,,
,,,Accessories ,Sunglasses ,Women ,Skylexo,Unisex Fancy Half Eye Mercury Sunglasses,₹323,https://www.meesho.com/unisex-fancy-half-eye-mercury-sunglasses/p/332jv5,,
,,,Accessories ,sunglasses ,Women ,ARZONAI,Arzonai Aviator Red-Violet Fashion Stylish Trending Sunglasses for Men,₹192,https://www.meesho.com/arzonai-aviator-red-violet-fashion-stylish-trending-sunglasses-for-men/p/6500op,,
,,,Accessories ,Sunglasses ,Men,OPIUM ,men blue lens square frame sunglasses ,Rs 3390,https://www.myntra.com/sunglasses/opium/opium-men-blue-lens--silver-toned-square-sunglasses-with-uv-protected-lens---op-1916-c04/16968838/buy,,
,,,Accessories ,Bracelet ,Men,Minprice,stainless-steel-silver-coated-bracelet,Rs 999,https://dl.flipkart.com/dl/minprice-stainless-steel-silver-coated-bracelet/p/itma18f07ac4e721?pid=BBAG35NB52JD7V3S&cmpid=product.share.pp&_refId=PP.63800a4a-d486-449c-b1df-9ee83a859acd.BBAG35NB52JD7V3S&_appId=CL,,
,,,Accessories ,Sunglasses ,Men,H&M,Men sunglasses ,Rs 799,https://www.myntra.com/hatke/a/products/23517026/buy?ep=rd_111110632,,
,,,Accessories ,sunglasses ,women ,Marc louis ,sunglasses ,rs 4950,https://www.myntra.com/sunglasses/marclouis/marc-louis-lens--wayfarer-sunglasses-with-polarised-and-uv-protected-lens/22619010/buy,,
,,,Accessories ,earrings ,Women ,Designs & you,silver plated cubic zirconia rectangular hoop earrings ,"Rs 1,999",https://www.myntra.com/earrings/designs26you/designs--you-silver-plated-cubic-zirconia-rectangular-hoop-earrings/24795142/buy,,
,,,Accessories ,Sunglasses ,Women ,Moonx,Aviator Sunglasses,Rs 2399,https://dl.flipkart.com/s/8sC9bQuuuN,,
,,,Accessories ,Earrings ,Women ,Mebella,3 layer Golden Butterfly with American Diamond Drop Earrings for Women & Girls, ₹799,https://amzn.in/d/0aTHGmJI,,
,,,Accessories ,ring ,Women ,Memoir,"Men's Brass Gold, Silver and Copper Plated 3 Ring Adjustable Nagdevta Snake Fingerring Vastu ","₹1,899",https://amzn.in/d/0hehxpH4,,
,,,Accessories ,sunglasses ,Women ,H&M,Women cateye sunglasses ,Rs 999,https://www.myntra.com/sunglasses/h26m/hm-women-cat-eye-sunglasses/29312260/buy,,
,,,Accessories,Stoles & Scarves,Women,Zippyque,Nylon Arm Sleeve For Men & Women ,Rs 1199,https://www.flipkart.com/z-zippyque-store-nylon-arm-sleeve-men-women/p/itm852ea48a3446a,,
,,,Accessories,Stoles & Scarves,Women,RainCaper,Warm Rain Poncho for Women with Hood - Soft & Rainproof,"Rs 16,434",https://www.amazon.in/WarmCaper-Poncho-Women-Rainproof-Choose/dp/B083P16SDD,,
,,,Accessories ,Glasses ,Men,Eymen ,men-aviator-rectangular-sunglasses,"Rs 1,999",https://dl.flipkart.com/dl/eymen-aviator-rectangular-sunglasses/p/itm16865feab4697?pid=SGLGZ9TZP3G5QNXF&cmpid=product.share.pp&_refId=PP.dc2cd2b9-e8cf-4f17-af60-1d3de5f1e7a8.SGLGZ9TZP3G5QNXF&_appId=CL,,
,,,Accessories ,Wallet ,Men,Scudo,Slim Wallet - Tuscany - Cognac,"₹1,950.00",https://www.scudo.store/products/mens-wallet-tuscany-cognac,,
,,,Accessories ,tie,Men,HISDERN,Extra Long Floral Dots Tie Handkerchief Men's Necktie & Pocket Square Set (Yellow & Blue),"₹3,436.44",https://amzn.in/d/06spfGmm,,
